,position,company_name,rating,location,date_listed,salary
65,Investment Analyst,บริษัท เมตะ คอร์ปอเรชั่น จำกัด (มหาชน),,กรุงเทพมหานคร,3 วันที่ผ่านมา,
66,International Banking Credit Analyst,บริษัท ธนาคารกรุงเทพ จำกัด (มหาชน),,"สาทร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
67,System Analyst,ธนาคารเกียรตินาคิน,4.3,Thailand,30+ วันที่ผ่านมา,
68,Business Intelligence Analyst,Whatsnew ( Orami ),,Thailand,30+ วันที่ผ่านมา,
69,Business Analyst/Researcher,บริษัท ไอพี คอมเมิร์ซ จำกัด,,นนทบุรี,17 วันที่ผ่านมา,
70,Technical Analyst,ธนาคารไทยพาณิชย์,4.5,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
71,system analyst,"Smart Finder Co., Ltd.",,นนทบุรี,30+ วันที่ผ่านมา,
72,data analyst (supervisor),บริษัท เงินติดล้อ จำกัด,4.4,"พญาไท, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
73,Logistics Analyst,"Artemis (South East Asia) Recruitment Co.,Ltd.",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
74,Business Analyst,"MFEC Co.,Ltd",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
75,Data Analyst,Robert Walters,,กรุงเทพมหานคร,18 วันที่ผ่านมา,
